"","mu","low","high"
"73",-70.2826005440247,-81.5795510956245,-58.9856499924249
"74",-67.4480105007437,-78.5902997980427,-56.3057212034447
"75",-61.5491694534952,-72.6562325305086,-50.4421063764818
"76",-54.2510668924561,-66.2187915806802,-42.2833422042319
"77",-47.2186923078027,-59.8502069306569,-34.5871776849485
"78",-42.0061365579031,-53.6371470531536,-30.3751260626526
"79",-39.0916697040766,-49.1164492036796,-29.0668902044737
"80",-38.3489743140054,-48.5418813022735,-28.1560673257373
"81",-39.6450089175187,-51.462217922841,-27.8277999121964
"82",-42.8399806860784,-55.3047709964744,-30.3751903756824
"83",-47.5797737998028,-59.3382946564075,-35.8212529431981
"84",-53.2568883113787,-64.757156519581,-41.7566201031764
"85",-59.2491919787849,-71.5490889213442,-46.9492950362255
"86",-64.9343444340672,-77.6591214513326,-52.2095674168017
"87",-69.6030346851365,-81.4682514996785,-57.7378178705945
"88",-72.3248179363889,-83.5206926108948,-61.1289432618831
"89",-72.1346224401646,-83.8407870822114,-60.4284577981178
"90",-68.0673764488033,-80.229943846722,-55.9048090508846
"91",-59.6885044600323,-70.7779529408722,-48.5990559791924
"92",-49.6921089732325,-59.6683733073205,-39.7158446391445
"93",-41.9152943207881,-52.7454080164274,-31.0851806251488
"94",-40.1968519923874,-52.6951048787429,-27.698599106032
"95",-47.9385858214783,-60.6140439762304,-35.2631276667262
"96",-61.7305071797215,-73.5353195420682,-49.9256948173749
"97",-72.7755792307433,-84.6541743335208,-60.8969841279658
"98",-72.1296539817659,-84.8770568645074,-59.3822510990244
"99",-50.955614414016,-63.2968408745081,-38.614387953524
"100",-8.20451922647006,-18.7194247711145,2.31038631817433
"101",44.2418933350535,33.6351123756591,54.8486742944478
"102",93.2827353364731,79.9456036465663,106.61986702638
"103",125.817183631634,110.410596916323,141.223770346946
"104",132.890583217503,118.160051040666,147.62111539434
"105",120.905933123893,107.973944564179,133.837921683608
"106",99.8212754825229,87.4898623854416,112.152688579604
"107",79.5946524251079,66.6039367039621,92.5853681462537
"108",69.1555314751121,56.1309984977047,82.1800644525196
"109",68.2869146699403,55.6958458892973,80.8779834505833
"110",71.9788041022124,59.0038157795872,84.9537924248375
"111",75.1790281547508,61.3559590502983,89.0020972592032
"112",72.9450564267704,59.4877599684167,86.402352885124
"113",63.377409870599,51.6800215589204,75.0747981822775
"114",47.9409704674944,37.5341131505946,58.3478277843942
"115",28.2747263895596,17.7008174483064,38.8486353308128
"116",6.01772937248205,-4.73697174561426,16.7724304905784
"117",-17.1731851284639,-27.1919681198772,-7.15440213705064
"118",-39.5991446319588,-49.8273051615417,-29.3709841023759
"119",-59.5552042032277,-71.4949975350963,-47.6154108713591
"120",-75.3364189074953,-88.5587968370655,-62.1140409779251
"121",-85.1678699137775,-97.7400150416336,-72.5957247859214
"122",-86.8931904863057,-98.3104500781445,-75.4759308944669
"123",-78.226672752321,-89.8353609308453,-66.6179845737966
"124",-56.8825043882336,-69.3300475898261,-44.4349611866411
"125",-21.0422564627291,-32.9547420031892,-9.12977092226893
"126",24.5280538451943,13.7127814682653,35.3433262221232
"127",70.1950494979234,58.5366109088408,81.853488087006
"128",106.21124618434,92.4308117278437,119.991680640837
"129",122.949639858971,108.561120369978,137.338159347964
"130",118.012042414938,105.289856767284,130.734228062592
"131",100.204930450189,89.1225525743581,111.28730832602
"132",79.2986226878199,68.0018482381042,90.5953971375357
"133",65.0630504898209,52.9894042515368,77.1366967281051
"134",63.9325303349843,52.2669847837526,75.5980758862161
"135",70.8966012158216,59.6620146475139,82.1311877841292
"136",78.4921768772908,66.6007649847721,90.3835887698095
"137",79.2561710643505,66.8149588253556,91.6973833033454
"138",66.682039225744,55.6185417806641,77.7455366708239
"139",42.0753129050255,33.1209664723797,51.0296593376712
"140",10.5562119604434,1.43924532933758,19.6731785915492
"141",-22.7292171237516,-33.8677974707867,-11.5906367767166
"142",-52.6993924626558,-64.7485940738342,-40.6501908514775
"143",-75.8486420941046,-87.5115913727279,-64.1856928154813
"144",-90.300803863506,-102.210417322302,-78.3911904047103
"145",-94.2549039519987,-107.286225467593,-81.2235824364048
"146",-85.9192523460261,-99.2309996140128,-72.6075050780394
"147",-65.3475873228482,-77.4498812286515,-53.2452934170448
"148",-36.6523382616976,-48.1749852027348,-25.1296913206605
"149",-4.48611783054916,-17.171408527934,8.19917286683565
"150",26.4984613026226,12.7578511908185,40.2390714144266
"151",52.2029306205639,39.3701096569601,65.0357515841678
"152",71.3229523845132,59.8277462480906,82.8181585209359
"153",83.4328665021068,71.4581483625929,95.4075846416206
"154",88.1073335662534,74.5257577755935,101.688909356913
"155",85.0855571388216,71.1240675665303,99.0470467111129
"156",76.2091418373615,63.0153053969135,89.4029782778095
"157",64.7718932370251,51.8218593818252,77.721927092225
"158",54.0965132910013,40.5803824037244,67.6126441782783
"159",47.4500445294433,33.9618245442211,60.9382645146654
"160",45.3023392142614,32.8817737693129,57.7229046592099
"161",44.0736614686795,32.3181922352583,55.8291307021007
"162",39.8673371925488,27.8583799721493,51.8762944129483
"163",28.7873036590346,17.0620066552506,40.5126006628187
"164",8.61266102178497,-1.36420926632165,18.5895313098916
"165",-17.5505948802803,-26.8510588567124,-8.25013090384818
"166",-45.540015121572,-56.8172901549643,-34.2627400881796
"167",-71.1931507765008,-84.5755564646246,-57.810745088377
"168",-90.5095573639144,-103.878467802108,-77.1406469257203
"1",-100.706017982297,-113.131888003893,-88.2801479607001
"2",-99.552771550096,-112.137357128382,-86.96818597181
"3",-84.8228412587135,-98.2222942684014,-71.4233882490256
"4",-54.5485393485925,-67.2911547703861,-41.8059239267988
"5",-12.3815875643962,-23.405892639865,-1.35728248892732
"6",32.5917235258265,21.3196312063991,43.863815845254
"7",71.0627954056051,57.5331502674556,84.5924405437547
"8",93.7588367248657,79.0872051026483,108.430468347083
"9",96.6959072294892,83.3396896928378,110.052124766141
"10",86.7210714047396,74.9437556357943,98.4983871736849
"11",72.0075850839135,59.9699470134351,84.045223154392
"12",60.7287041003081,47.5360002221194,73.9214079784967
"13",59.0947009750992,45.7854343279397,72.4039676222587
"14",64.1559053319829,51.0592927642472,77.2525178997186
"15",70.2929538369095,56.6982622709086,83.8876454029104
"16",71.88617312747,57.856678637577,85.9156676173631
"17",63.7604258164835,51.0300208481755,76.4908307847916
"18",45.9083052287967,35.6551268712549,56.1614835863384
"19",21.6564245034672,12.4669415951118,30.8459074118225
"20",-5.61303622354368,-15.9340132706138,4.70794082352639
"21",-32.5309438315871,-43.7156883962889,-21.3461992668852
"22",-56.284698685185,-67.2859883359424,-45.2834090344276
"23",-74.8145661204526,-86.1973504156351,-63.4317818252702
"24",-86.1142520482256,-98.6916643071042,-73.536839789347
"25",-88.1782214730438,-101.212362175036,-75.1440807710519
"26",-79.9409227616853,-91.8990936301401,-67.9827518932305
"27",-63.1089670467699,-74.350870258752,-51.8670638347877
"28",-39.8974989388034,-52.0727038203649,-27.722294057242
"29",-12.5216630482919,-25.7476005361923,0.704274439608493
"30",16.6643678404531,4.17531309208796,29.1534225888183
"31",44.3439877180868,33.1364713705642,55.5515040656093
"32",66.7934342132313,55.1816082518114,78.4052601746512
"33",80.2874896730269,67.1551517638297,93.4198275822241
"34",81.3349600671472,67.9515522662204,94.7183678680741
"35",70.9668337855407,58.6596758558379,83.2739917152436
"36",54.304395477894,42.3825909234778,66.2262000323103
"37",36.6163032704748,23.8466198889111,49.3859866520384
"38",23.1460456013814,9.98475864120545,36.3073325615574
"39",16.276601017976,4.08421483125251,28.4689872046994
"40",12.9322467762463,1.61781992602841,24.2466736264641
"41",9.42339660742243,-2.01308097182713,20.859874186672
"42",2.0604642427347,-9.282251163162,13.4031796486314
"43",-11.7413138279099,-21.5654664423337,-1.91716121348613
"44",-29.7939078715927,-38.8929302273209,-20.6948855158644
"45",-48.620757807234,-59.6118173395218,-37.6296982749462
"46",-64.7452834192092,-77.9528635368783,-51.53770330154
"47",-74.9304569518099,-88.2012370209195,-61.6596768827004
"48",-78.4800183037506,-90.4658765220239,-66.4941600854773
"49",-76.2280171211126,-87.9344311282408,-64.5216031139843
"50",-69.0295337186122,-81.7012361173294,-56.357831319895
"51",-57.7306766201681,-70.5486715882645,-44.9126816520716
"52",-42.8490172712057,-54.5352307706825,-31.162803771729
"53",-24.4866999094714,-35.7294166700096,-13.2439831489332
"54",-2.71921843613094,-14.8588686105491,9.42043173828723
"55",22.375848581886,9.82306121887416,34.9286359448979
"56",49.3086198932932,37.8770344887414,60.740205297845
"57",72.7233933770234,61.7311897177683,83.7155970362786
"58",86.6089812865557,74.1149380046634,99.103024568448
"59",84.9541958753688,71.0219022923327,98.8864894584049
"60",63.325644859036,50.1356760953905,76.5156136226815
"61",27.3660151625994,15.9492339738389,38.7827963513598
"62",-13.3191436068693,-24.3915729102421,-2.24671430349658
"63",-49.1147984736304,-61.3285479436543,-36.9010490036065
"64",-70.8674250786462,-83.3574521843444,-58.3773979729481
"65",-77.4153390633546,-89.0178499994714,-65.8128281272378
"66",-74.3566917092482,-85.6370856310337,-63.0762977874626
"67",-67.5025749283473,-79.4668988435983,-55.5382510130962
"68",-62.6328149396663,-74.7353294220453,-50.5303004572873
"69",-62.7160034947746,-73.6329239414078,-51.7990830481414
"70",-65.7183389161937,-75.720658904221,-55.7160189281664
