"","Econ","optimalstart","month","solar","Econ:optimalstart","Econ:month","optimalstart:month","Econ:solar","optimalstart:solar","month:solar","Econ:optimalstart:month","Econ:optimalstart:solar","Econ:month:solar","optimalstart:month:solar","Econ:optimalstart:month:solar","s(temperature):occ0","s(temperature):occ1","s(hours2)","s(prev_week):dayFriday","s(prev_week):dayMonday","s(prev_week):daySaturday","s(prev_week):daySunday","s(prev_week):dayThursday","s(prev_week):dayTuesday","s(prev_week):dayWednesday"
"1",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,2.103930132351,0,-100.759145921906,0,0,0,0,-45.0858785668069,0,0
"2",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,2.103930132351,0,-99.6361673072268,0,0,0,0,-38.8314483916294,0,0
"3",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,14.3459729834834,0,-84.9280009282796,0,0,0,0,-44.9261841077746,0,0
"4",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,9.88357416529314,0,-54.6569854806607,0,0,0,0,-43.9635294127961,0,0
"5",0,34.0069763297478,1.73484665810933,0,0,0,-7.73761768326999,0,0,0,0,0,0,0,0,5.77953607737635,0,-12.4738507770926,0,0,0,0,-38.303032687657,0,0
"6",0,34.0069763297478,1.73484665810933,0,0,0,-7.73761768326999,0,0,0,0,0,0,0,0,9.88357416529314,0,32.527418367913,0,0,0,0,-45.5452752046982,0,0
"7",0,34.0069763297478,1.73484665810933,0,0,0,-7.73761768326999,0,0,0,0,0,0,0,0,9.88357416529314,0,71.0301738722492,0,0,0,0,154.148501972387,0,0
"8",0,34.0069763297478,1.73484665810933,4.84776780383462,0,0,-7.73761768326999,0,38.8847822454594,0.950561671893211,0,0,0,-3.38586863337629,0,0,59.2144112992893,93.7535969188157,0,0,0,0,171.204876919866,0,0
"9",0,34.0069763297478,1.73484665810933,4.84776780383462,0,0,-7.73761768326999,0,38.8847822454594,0.950561671893211,0,0,0,-3.38586863337629,0,0,49.3022140861179,96.7089838329673,0,0,0,0,135.187610820449,0,0
"10",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,49.3022140861179,86.7453200996447,0,0,0,0,89.3317598078848,0,0
"11",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,49.3022140861179,72.0386010188477,0,0,0,0,73.6827592872033,0,0
"12",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,49.3022140861179,60.764821890576,0,0,0,0,64.6929078800585,0,0
"13",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,49.3022140861179,59.1362739853058,0,0,0,0,64.2019809677492,0,0
"14",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,49.3022140861179,64.201942565294,0,0,0,0,65.0486233341351,0,0
"15",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,49.3022140861179,70.3401397462943,0,0,0,0,68.5151972084509,0,0
"16",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,59.2144112992893,71.9288675018723,0,0,0,0,64.4872879310131,0,0
"17",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,79.0829788169095,63.7909370876704,0,0,0,0,60.4508438073646,0,0
"18",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,98.2175204422277,45.9200676634747,0,0,0,0,71.3832511700343,0,0
"19",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,107.217910433629,21.6460480046472,0,0,0,0,49.7732184063385,0,0
"20",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,44.1067370781111,0,-5.64573195319032,0,0,0,0,49.7050562642814,0,0
"21",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,49.0226260160154,0,-32.5829535532258,0,0,0,0,16.2127522405136,0,0
"22",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,58.8146439546721,0,-56.3508666075487,0,0,0,0,-46.4585835745481,0,0
"23",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,63.8326821188376,0,-74.8889860006769,0,0,0,0,-46.8376218606917,0,0
"24",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,69.066606530042,0,-86.1903665751323,0,0,0,0,-45.0858785668069,0,0
"25",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,74.63751722054,0,-88.2488232154267,-55.0448568784731,0,0,0,0,0,0
"26",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,74.63751722054,0,-79.9993284271805,-52.8931543888281,0,0,0,0,0,0
"27",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,63.8326821188376,0,-63.1524805609368,-49.8212426616383,0,0,0,0,0,0
"28",0,0,1.73484665810933,0,0,0,0,0,0,0,0,0,0,0,0,58.8146439546721,0,-39.9280467222701,102.900738791576,0,0,0,0,0,0
"29",0,34.0069763297478,1.73484665810933,0,0,0,-7.73761768326999,0,0,0,0,0,0,0,0,44.1067370781111,0,-12.5457940167553,140.451469290654,0,0,0,0,0,0
"30",0,34.0069763297478,1.73484665810933,0,0,0,-7.73761768326999,0,0,0,0,0,0,0,0,49.0226260160154,0,16.6364331236761,93.7386052255192,0,0,0,0,0,0
"31",0,34.0069763297478,1.73484665810933,0,0,0,-7.73761768326999,0,0,0,0,0,0,0,0,34.0980618101494,0,44.3049393566478,152.640566828626,0,0,0,0,0,0
"32",0,34.0069763297478,1.73484665810933,4.84776780383462,0,0,-7.73761768326999,0,38.8847822454594,0.950561671893211,0,0,0,-3.38586863337629,0,0,107.217910433629,66.7416576190036,140.195419920561,0,0,0,0,0,0
